Time, Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°C), Short term fuel % trim - Bank 1 (%), Short term fuel % trim - Bank 3 (%), Long term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 3 (%), Intake manifold absolute pressure (bar), Engine RPM (RPM), Vehicle speed (km/h), Ignition timing advance for #1 cylinder (deg), Intake air temperature (°C), Mass air flow rate (g/s), Absolute throttle position (%), Location of oxygen sensors, O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%), OBD requirements to which vehicle or engine is certified, Time since engine start (sec), Distance traveled while MIL is activated (km), Fuel rail pressure (psi), Commanded evaporative purge (%), Number of warm-ups since DTCs cleared, Distance traveled since DTCs cleared (km), Barometric pressure (bar), O2 sensor lambda wide range (current probe)  (Bank 1  Sensor 1), O2 sensor current wide range (Bank 1  Sensor 1) (mA), Catalyst temperature (Bank 1 Sensor 1) (°C), Control module voltage (V), Fuel/Air commanded equivalence ratio, Absolute throttle position B (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Commanded throttle actuator control (%), Engine run time run while MIL is activated (min), Engine run time since DTCs cleared (min), Instant fuel economy (l/100 km), Total fuel economy (l/100 km), Fuel rate (l/hr), Instant CO2 rate (g/km), Total CO2 (kg), CO2 flow (g/s), Trip Distance (km), Trip Fuel (l), Trip Fuel Economy (l/100 km), Trip Duration (min), Hard Brake Count, Hard Accel Count, Idling Count, Seconds Idling (sec), Max Speed (km/h), Intake manifold absolute pressure (bar), Mass air flow rate (g/s), Boost (bar), Engine Power (hp), Engine Torque (N•m), Fuel Remaining (l), Distance to empty (km), Latitude (deg), Longitude (deg), Altitude (m), GPS Speed (km/h), Adapter voltage (V)
06/03/2025 02:22:17.4892 PM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01\.44,-61\.13,251.02,34.46,0.00
06/03/2025 02:22:26.2070 PM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,4.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,9.14,0.75,56.58,764.51,0.49,7.54,1.18,15.59,40.41,9.00,5.00,2.00,63.53,150.00,0.00,0.00,0.00,2.71,0.00,0.00,0.00,01\.44,-61\.13,241.91,39.09,0.00
06/03/2025 02:22:30.8295 PM,4.00,0.00,7.84,78.00,0.00,0.00,-1.56,0.00,0.93,2134.50,33.00,39.50,30.00,5.02,23.14,3.00,0.77,99.22,6.00,114.00,0.00,2778.92,9.80,5.00,349.00,0.98,1.00,-0.00,418.20,14.42,2.00,25.10,24.31,11.76,19.61,0.00,380.00,2.53,9.14,0.84,59.43,764.51,0.54,7.55,1.18,15.57,40.56,9.00,5.00,2.00,63.53,150.00,0.00,0.00,-0.07,3.03,10.09,0.00,0.00,01\.44,-61\.13,241.31,45.33,14.50
06/03/2025 02:22:36.2942 PM,2.00,0.00,19.22,78.00,-2.34,0.00,0.78,0.00,0.93,3134.00,44.00,39.50,30.00,16.80,24.71,3.00,0.33,99.22,6.00,114.00,0.00,2398.92,81.18,5.00,349.00,0.98,1.40,0.35,447.50,14.42,1.00,23.53,21.57,10.59,17.65,0.00,380.00,6.35,9.14,2.80,149.16,764.52,1.82,7.66,1.18,15.44,40.63,9.00,5.00,2.00,63.53,150.00,0.60,25.86,-0.05,10.13,23.01,0.00,0.00,01\.44,-61\.13,241.44,41.38,14.50
06/03/2025 02:22:41.3835 PM,4.00,0.00,8.24,78.00,0.00,0.00,1.56,0.00,0.92,2923.50,48.00,14.00,30.00,6.72,18.82,3.00,0.12,99.22,6.00,114.00,0.00,1544.65,0.00,5.00,349.00,0.98,2.00,0.94,466.90,14.42,2.00,18.43,12.16,5.49,10.20,0.00,380.00,4.65,9.14,2.23,109.27,764.53,1.46,7.72,1.19,15.36,40.73,9.00,5.00,2.00,63.53,150.00,0.16,37.56,-0.06,8.09,19.71,0.00,0.00,01\.44,-61\.13,240.10,37.22,14.50
06/03/2025 02:22:47.2981 PM,4.00,0.00,8.24,78.00,0.00,0.00,1.56,0.00,0.93,2535.00,39.00,12.00,30.00,6.05,18.82,3.00,0.11,99.22,6.00,114.00,0.00,797.71,0.00,5.00,349.00,0.98,1.39,0.35,474.60,14.42,1.04,19.22,12.16,5.88,11.37,0.00,380.00,2.58,9.14,1.01,60.60,764.53,0.66,7.78,1.19,15.26,40.81,9.00,5.00,2.00,63.53,150.00,0.16,35.42,-0.05,3.65,10.24,0.00,0.00,01\.44,-61\.13,236.12,36.58,14.50
06/03/2025 02:22:51.7187 PM,4.00,0.00,8.24,78.00,0.00,0.00,1.56,0.00,0.93,2522.00,38.00,12.50,28.00,5.88,18.82,3.00,0.09,99.22,6.00,114.00,0.00,987.71,0.00,5.00,349.00,0.98,2.00,1.30,477.10,14.42,1.26,18.82,7.84,3.92,9.41,0.00,380.00,4.97,9.14,1.89,116.73,764.54,1.23,7.83,1.19,15.19,40.91,9.00,5.00,2.00,63.53,150.00,0.18,30.71,-0.05,6.84,19.32,0.00,0.00,01\.44,-61\.13,235.89,31.75,14.50
06/03/2025 02:22:55.9187 PM,4.00,0.00,7.06,78.00,0.00,0.00,-3.91,0.00,0.93,1450.50,34.00,29.00,28.00,2.74,18.82,3.00,0.47,99.22,6.00,114.00,0.00,1203.81,0.00,5.00,349.00,0.98,0.99,-0.03,478.10,14.42,1.58,20.00,21.18,10.98,18.04,0.00,380.00,2.13,9.14,0.72,49.98,764.54,0.47,7.89,1.19,15.10,40.98,9.00,5.00,2.00,63.53,150.00,0.08,30.76,-0.05,2.62,12.87,0.00,0.00,01\.44,-61\.13,239.42,29.74,14.50
06/03/2025 02:23:00.4811 PM,2.00,0.00,28.24,78.00,-3.91,0.00,1.56,0.00,0.94,1368.50,31.00,19.50,28.00,11.63,23.14,3.00,0.24,99.22,6.00,114.00,0.00,2892.05,43.14,5.00,349.00,0.98,1.05,0.05,465.70,14.42,1.00,20.39,19.61,9.41,11.76,0.00,380.00,7.88,9.14,2.44,185.08,764.55,1.59,7.93,1.19,15.06,41.05,9.00,5.00,2.00,63.53,150.00,0.61,17.88,-0.04,8.85,46.06,0.00,0.00,01\.44,-61\.13,241.29,20.33,14.50
06/03/2025 02:23:02.0011 PM,2.00,0.00,10.98,78.00,0.00,0.00,-7.03,0.00,0.93,1017.00,27.00,15.50,28.00,4.47,19.22,3.00,0.72,99.22,6.00,114.00,0.00,1389.46,3.92,5.00,349.00,0.98,1.00,-0.01,460.70,14.42,1.00,19.22,7.84,3.92,9.41,0.00,380.00,5.51,9.14,1.49,129.32,764.55,0.97,7.96,1.20,15.03,41.13,9.00,5.00,2.00,63.53,150.00,0.25,16.69,-0.05,5.39,37.72,0.00,0.00,01\.44,-61\.13,240.87,21.31,14.50
